File,Lines of Code,Num Plays,Avg Play Size,Num Tasks,Avg Task Size
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/aalaesar/install_nextcloud/roles/install_nextcloud/tasks/tls_signed.yml,49,0,0,7,8
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/aalaesar/install_nextcloud/roles/install_nextcloud/tasks/websrv_install.yml,22,0,0,3,7
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/AAROC/AnsibleBootCamp/handson/Ansible/roles/webserver/tasks/install-RedHat.yml,19,0,0,4,5
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/AAROC/AnsibleBootCamp/handson/Ansible/roles/webserver/tasks/main.yml,7,0,0,1,2
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/AAROC/AnsibleBootCamp/handson/roles/webserver/tasks/configuration-Debian.yml,5,0,0,1,5
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/AAROC/AnsibleBootCamp/handson/roles/webserver/tasks/configuration-RedHat.yml,5,0,0,1,5
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/AAROC/AnsibleBootCamp/handson/roles/webserver/tasks/main.yml,18,0,0,7,2
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/AAROC/AnsibleBootCamp/handson/roles/webserver/tasks/packages-Debian.yml,6,0,0,1,6
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/AAROC/AnsibleBootCamp/handson/roles/webserver/tasks/packages-RedHat.yml,17,0,0,3,6
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/abims-sbr/ansible-singularity/tasks/main.yml,149,0,0,21,7
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/adfinis-sygroup/ansible-role-icinga2_master/tasks/configuration.yml,265,0,0,22,12
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/adfinis-sygroup/ansible-role-icinga2_master/tasks/installation.yml,52,0,0,4,12
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/adfinis-sygroup/ansible-role-icinga2_master/tasks/main.yml,17,0,0,3,6
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/adobe/ops-cli/examples/features/terraform-and-ansible/ansible/playbooks/site.yaml,18,3,7,0,0
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/adobe/ops-cli/examples/features/terraform-and-ansible/ansible/roles/common/tasks/main.yaml,3,0,0,1,3
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/adobe/ops-cli/examples/features/terraform-and-ansible/ansible/roles/db/tasks/main.yaml,2,0,0,1,1
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/adobe/ops-cli/examples/features/terraform-and-ansible/ansible/roles/web/tasks/main.yaml,2,0,0,1,1
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/adobe/ops-cli/examples/features/terraform-and-ansible/ansible/tasks/copy-key.yaml,12,1,12,3,2
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/adobe/ops-cli/tests/e2e/fixture/ansible/playbooks/play_module.yaml,8,1,8,3,2
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/adoptium/infrastructure/ansible/playbooks/correct_vnc_install.yml,50,1,46,1,41
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/adoptium/infrastructure/ansible/playbooks/ubuntu-jck.yml,89,1,79,1,74
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/adoptium/infrastructure/ansible/playbooks/vagrant.yml,283,1,280,1,271
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/adoptium/infrastructure/ansible/playbooks/AdoptOpenJDK_AIX_Playbook/roles/aixfs/tasks/main.yml,25,0,0,1,21
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/adoptium/infrastructure/ansible/playbooks/AdoptOpenJDK_AIX_Playbook/roles/ant/tasks/main.yml,36,0,0,1,34
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/adoptium/infrastructure/ansible/playbooks/AdoptOpenJDK_AIX_Playbook/roles/ant_contrib/tasks/main.yml,34,0,0,1,29
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/adoptium/infrastructure/ansible/playbooks/AdoptOpenJDK_AIX_Playbook/roles/bash_login/tasks/main.yml,30,0,0,4,6
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/adoptium/infrastructure/ansible/playbooks/AdoptOpenJDK_AIX_Playbook/roles/bootjdk/tasks/bootjdk7.yml,23,0,0,3,7
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/adoptium/infrastructure/ansible/playbooks/AdoptOpenJDK_AIX_Playbook/roles/bootjdk/tasks/chfs.yml,9,0,0,1,5
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/adoptium/infrastructure/ansible/playbooks/AdoptOpenJDK_AIX_Playbook/roles/bootjdk/tasks/main.yml,24,0,0,4,5
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/adoptium/infrastructure/ansible/playbooks/AdoptOpenJDK_AIX_Playbook/roles/bootjdk/tasks/openjdk.yml,111,0,0,1,98
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/adoptium/infrastructure/ansible/playbooks/AdoptOpenJDK_AIX_Playbook/roles/crontab/tasks/main.yml,11,0,0,2,5
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/adoptium/infrastructure/ansible/playbooks/AdoptOpenJDK_AIX_Playbook/roles/debug/tasks/main.yml,25,0,0,1,29
