Owner,Repo,Files Number,YAML Files Number,File URL
aalaesar,,24,24,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\aalaesar\install_nextcloud\roles\install_nextcloud\tasks\tls_installed.yml
aalaesar,,24,24,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\aalaesar\install_nextcloud\roles\install_nextcloud\tasks\tls_selfsigned.yml
aalaesar,,24,24,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\aalaesar\install_nextcloud\roles\install_nextcloud\tasks\tls_signed.yml
aalaesar,,24,24,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\aalaesar\install_nextcloud\roles\install_nextcloud\tasks\websrv_install.yml
AAROC,,7,7,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\AAROC\AnsibleBootCamp\handson\Ansible\roles\webserver\tasks\install-RedHat.yml
AAROC,,7,7,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\AAROC\AnsibleBootCamp\handson\Ansible\roles\webserver\tasks\main.yml
AAROC,,7,7,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\AAROC\AnsibleBootCamp\handson\roles\webserver\tasks\configuration-Debian.yml
AAROC,,7,7,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\AAROC\AnsibleBootCamp\handson\roles\webserver\tasks\configuration-RedHat.yml
AAROC,,7,7,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\AAROC\AnsibleBootCamp\handson\roles\webserver\tasks\main.yml
AAROC,,7,7,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\AAROC\AnsibleBootCamp\handson\roles\webserver\tasks\packages-Debian.yml
AAROC,,7,7,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\AAROC\AnsibleBootCamp\handson\roles\webserver\tasks\packages-RedHat.yml
abims-sbr,,1,1,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\abims-sbr\ansible-singularity\tasks\main.yml
adfinis-sygroup,,3,3,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\adfinis-sygroup\ansible-role-icinga2_master\tasks\configuration.yml
adfinis-sygroup,,3,3,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\adfinis-sygroup\ansible-role-icinga2_master\tasks\installation.yml
adfinis-sygroup,,3,3,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\adfinis-sygroup\ansible-role-icinga2_master\tasks\main.yml
adobe,,6,6,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\adobe\ops-cli\examples\features\terraform-and-ansible\ansible\playbooks\site.yaml
adobe,,6,6,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\adobe\ops-cli\examples\features\terraform-and-ansible\ansible\roles\common\tasks\main.yaml
adobe,,6,6,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\adobe\ops-cli\examples\features\terraform-and-ansible\ansible\roles\db\tasks\main.yaml
adobe,,6,6,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\adobe\ops-cli\examples\features\terraform-and-ansible\ansible\roles\web\tasks\main.yaml
adobe,,6,6,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\adobe\ops-cli\examples\features\terraform-and-ansible\ansible\tasks\copy-key.yaml
adobe,,6,6,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\adobe\ops-cli\tests\e2e\fixture\ansible\playbooks\play_module.yaml
adoptium,,181,179,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\adoptium\infrastructure\ansible\playbooks\correct_vnc_install.yml
adoptium,,181,179,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\adoptium\infrastructure\ansible\playbooks\ubuntu-jck.yml
adoptium,,181,179,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\adoptium\infrastructure\ansible\playbooks\vagrant.yml
adoptium,,181,179,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\adoptium\infrastructure\ansible\playbooks\AdoptOpenJDK_AIX_Playbook\roles\aixfs\tasks\main.yml
adoptium,,181,179,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\adoptium\infrastructure\ansible\playbooks\AdoptOpenJDK_AIX_Playbook\roles\ant\tasks\main.yml
adoptium,,181,179,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\adoptium\infrastructure\ansible\playbooks\AdoptOpenJDK_AIX_Playbook\roles\ant_contrib\tasks\main.yml
adoptium,,181,179,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\adoptium\infrastructure\ansible\playbooks\AdoptOpenJDK_AIX_Playbook\roles\bash_login\tasks\main.yml
adoptium,,181,179,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\adoptium\infrastructure\ansible\playbooks\AdoptOpenJDK_AIX_Playbook\roles\bootjdk\tasks\bootjdk7.yml
adoptium,,181,179,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\adoptium\infrastructure\ansible\playbooks\AdoptOpenJDK_AIX_Playbook\roles\bootjdk\tasks\chfs.yml
adoptium,,181,179,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\adoptium\infrastructure\ansible\playbooks\AdoptOpenJDK_AIX_Playbook\roles\bootjdk\tasks\main.yml
adoptium,,181,179,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\adoptium\infrastructure\ansible\playbooks\AdoptOpenJDK_AIX_Playbook\roles\bootjdk\tasks\openjdk.yml
adoptium,,181,179,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\adoptium\infrastructure\ansible\playbooks\AdoptOpenJDK_AIX_Playbook\roles\crontab\tasks\main.yml
adoptium,,181,179,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\adoptium\infrastructure\ansible\playbooks\AdoptOpenJDK_AIX_Playbook\roles\debug\tasks\main.yml
adoptium,,181,179,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\adoptium\infrastructure\ansible\playbooks\AdoptOpenJDK_AIX_Playbook\roles\disable_sendmail\tasks\main.yml
adoptium,,181,179,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\adoptium\infrastructure\ansible\playbooks\AdoptOpenJDK_AIX_Playbook\roles\enable_swap\tasks\main.yml
adoptium,,181,179,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\adoptium\infrastructure\ansible\playbooks\AdoptOpenJDK_AIX_Playbook\roles\fullcore\tasks\main.yml
adoptium,,181,179,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\adoptium\infrastructure\ansible\playbooks\AdoptOpenJDK_AIX_Playbook\roles\hosts_file\tasks\main.yml
adoptium,,181,179,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\adoptium\infrastructure\ansible\playbooks\AdoptOpenJDK_AIX_Playbook\roles\logs\tasks\main.yml
adoptium,,181,179,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\adoptium\infrastructure\ansible\playbooks\AdoptOpenJDK_AIX_Playbook\roles\ntp_time_server\tasks\main.yml
adoptium,,181,179,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\adoptium\infrastructure\ansible\playbooks\AdoptOpenJDK_AIX_Playbook\roles\openssl\tasks\main.yml
adoptium,,181,179,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\adoptium\infrastructure\ansible\playbooks\AdoptOpenJDK_AIX_Playbook\roles\rbac\tasks\main.yml
adoptium,,181,179,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\adoptium\infrastructure\ansible\playbooks\AdoptOpenJDK_AIX_Playbook\roles\rbac\tasks\setsecattr.yml
adoptium,,181,179,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\adoptium\infrastructure\ansible\playbooks\AdoptOpenJDK_AIX_Playbook\roles\security\tasks\main.yml
adoptium,,181,179,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\adoptium\infrastructure\ansible\playbooks\AdoptOpenJDK_AIX_Playbook\roles\syslogs\tasks\main.yml
adoptium,,181,179,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\adoptium\infrastructure\ansible\playbooks\AdoptOpenJDK_AIX_Playbook\roles\users\tasks\create_user.yml
