X2015.Middleware.Keynote,https...github.com.2015.Middleware.Keynote.demo.ansible.blob.master.playbooks.certificate_repos.yml
arillso,https://github.com/arillso/ansible.logrotate/blob/master/tasks/main.yml
roots,https://github.com/roots/trellis/blob/master/roles/xdebug/tasks/main.yml
openstack,https://github.com/openstack/ansible-collections-openstack/blob/master/ci/roles/security_group/tasks/rules.yml
ansible-ThoTeam,https://github.com/ansible-ThoTeam/nexus3-oss/blob/master/tasks/nexus-restore.yml
CenterForOpenScience,https://github.com/CenterForOpenScience/cos-ansible-base/blob/master/roles/docker-sentry/tasks/server.yml
AtlasOfLivingAustralia,https://github.com/AtlasOfLivingAustralia/ala-install/blob/master/ansible/roles/postgresql/tasks/barman.yml
manala,https://github.com/manala/ansible-roles/blob/master/roles/deploy/tasks/main.yml
wunderio,https://github.com/wunderio/WunderMachina/blob/master/playbook/roles/nfs_server/tasks/fdisk.yml
bluebanquise,https://github.com/bluebanquise/bluebanquise/blob/master/collections/monitoring/roles/prometheus/tasks/server_ipmi_exporter.yml
ArkCase,https://github.com/ArkCase/arkcase-ce/blob/master/vagrant/provisioning/roles/pentaho-setup/tasks/main.yml
ArdanaCLM,https://github.com/ArdanaCLM/cobbler-ansible/blob/master/roles/cobbler/tasks/target-all-nodes.yml
starlingx,https://github.com/starlingx/ansible-playbooks/blob/master/playbookconfig/src/playbooks/roles/migrate-platform-certificates-to-certmanager/migrate-certificates/tasks/get-certificates-summary.yml
jpnewman,https://github.com/jpnewman/ansible-role-java/blob/master/tasks/oracle_archive_install.yml
openedx,https://github.com/openedx/configuration/blob/master/playbooks/roles/testcourses/tasks/import_course.yml
manala,https://github.com/manala/ansible-role-bind/blob/master/tasks/zones.yml
openstack,https://github.com/openstack/kolla-ansible/blob/master/ansible/roles/prune-images/tasks/prune_images.yml
starlingx,https://github.com/starlingx/ansible-playbooks/blob/master/playbookconfig/src/playbooks/roles/rehome-subcloud/update-keystone-data/tasks/migrate_keystone_ids.yml
openstack,https://github.com/openstack/kolla-ansible/blob/master/ansible/roles/senlin/tasks/clone.yml
BCDevOps,https://github.com/BCDevOps/platform-services/blob/master/tools/bots/ansible-webhook/scripts/tasks/pr_merge_and_close.yml
manala,https://github.com/manala/ansible-roles/blob/master/roles/prometheus/tasks/config.yml
devopsschool-training-notes,https://github.com/devopsschool-training-notes/Ansible-astrazeneca-June-2020/blob/master/RajSelvaraj/rolesprj/projectnew/tasks/main.yml
openstack,https://github.com/openstack/openstack-ansible-os_trove/blob/master/tasks/trove_db_sync.yml
plone,https://github.com/plone/ansible.plone_server/blob/master/tasks/Debian.yml
trailofbits,https://github.com/trailofbits/algo/blob/master/roles/dns/tasks/freebsd.yml
ansible,https://github.com/ansible/ansible-zuul-jobs/blob/master/playbooks/ansible-security-trendmicro-deepsec-appliance/roles/tm-deepsec-aws-setup/tasks/main.yml
IBM,https://github.com/IBM/ibm-spectrum-scale-install-infra/blob/master/roles/scale_fileauditlogging/node/tasks/install_local_pkg.yml
contiv,https://github.com/contiv/ansible/blob/master/roles/bind/tasks/main.yml
contiv,https://github.com/contiv/ansible/blob/master/roles/docker/tasks/cleanup.yml
stackbuilders,https://github.com/stackbuilders/sb-debian-base/blob/master/tasks/bootstrap-firewall.yml
openstack,https://github.com/openstack/kolla-ansible/blob/master/ansible/roles/influxdb/tasks/loadbalancer.yml
CentOS-PaaS-SIG,https://github.com/CentOS-PaaS-SIG/linchpin/blob/master/linchpin/provision/roles/azure/tasks/teardownVM.yml
ReinerNippes,https://github.com/ReinerNippes/nextcloud/blob/master/roles/prep_letsencrypt/tasks/Amazon.yml
CentOS-PaaS-SIG,https://github.com/CentOS-PaaS-SIG/linchpin/blob/master/linchpin/provision/roles/aws/tasks/provision_aws_ec2.yml
ArdanaCLM,https://github.com/ArdanaCLM/cobbler-ansible/blob/master/roles/cobbler/tasks/get-rhel-loader.yml
openstack,https://github.com/openstack/kolla-ansible/blob/master/ansible/roles/prometheus/tasks/upgrade.yml
nexcess,https://github.com/nexcess/ansible-playbook-cloudhost/blob/master/playbooks/tasks/install-app-magento-2.yml
Cloudbox,https://github.com/Cloudbox/Cloudbox/blob/master/roles/kernel/tasks/main.yml
openedx,https://github.com/openedx/configuration/blob/master/playbooks/roles/grafana/tasks/main.yml
openstack,https://github.com/openstack/kolla-ansible/blob/master/ansible/roles/memcached/tasks/reconfigure.yml
vmware,https://github.com/vmware/ansible-module-vcloud-director/blob/master/roles/org/tasks/main.yml
openstack,https://github.com/openstack/kolla-ansible/blob/master/ansible/roles/barbican/tasks/reconfigure.yml
arillso,https://github.com/arillso/ansible.users/blob/master/tasks/main.yml
CentOS-PaaS-SIG,https://github.com/CentOS-PaaS-SIG/linchpin/blob/master/linchpin/provision/roles/azure/tasks/provision_resource_group.yml
openmrs,https://github.com/openmrs/openmrs-contrib-itsmresources/blob/master/ansible/custom_roles/mysql/tasks/setup-Debian.yml
