File,Lines of Code,Num Plays,Avg Play Size,Num Tasks,Avg Task Size
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/conflicting_action.yml,10,1,6,1,4
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/custom_module.yml,9,1,8,1,2
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/ematcher-rule.yml,11,2,6,2,3
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/example.yml,35,1,35,14,2
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/find_children.yml,9,1,8,0,0
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/fqcn.transformed.yml,16,1,18,3,5
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/fqcn.yml,16,1,17,3,5
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/include-import-tasks-in-role.yml,4,1,4,0,0
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/include-in-block.yml,5,1,5,1,2
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/include.yml,12,2,6,2,1
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/jinja-spacing.yml,92,1,75,20,4
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/json-schema-fail.yml,3,0,0,1,3
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/lots_of_warnings.transformed.yml,998,1,995,496,2
