Playbook Path,Play Name,Task Name,duplicated code,complex playbook,high playbook coupling,Large Playbook,Unnecessary set_fact,Overriding facts,Incohesive Playbook,Unecessary Abstraction ,Insufficient Modularization,Inconsistent Naming Convention ,Large Play,Unnamed Play,Large Task,Long Task Name,Filename,Full_Path_and_Filename,GroupID
,,Create new pem file for haproxy,#,#,#,#,#,#,#,#,#,#,#,#,0,0,haproxy_ssl_letsencrypt,nan_haproxy_ssl_letsencrypt,haproxy_ssl_letsencrypt
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\avinetworks\ansible-role-aviconfig\tasks\hardwaresecuritymodulegroup.yml,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#,hardwaresecuritymodulegroup,C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\avinetworks\ansible-role-aviconfig\tasks\hardwaresecuritymodulegroup.yml_hardwaresecuritymodulegroup,hardwaresecuritymodulegroup
,,Avi HardwareSecurityModuleGroup | Create or Update HardwareSecurityModuleGroup,#,#,#,#,#,#,#,#,#,#,#,#,0,1,hardwaresecuritymodulegroup,nan_hardwaresecuritymodulegroup,hardwaresecuritymodulegroup
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\confluentinc\cp-ansible\roles\kafka_connect\tasks\health_check.yml,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#,health_check,C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\confluentinc\cp-ansible\roles\kafka_connect\tasks\health_check.yml_health_check,health_check
,,Wait for API to return 200,#,#,#,#,#,#,#,#,#,#,#,#,0,0,health_check,nan_health_check,health_check
,,task,,,,,,,,,,,,,0,0,,,
,,Wait for API to return 200 - mTLS,#,#,#,#,#,#,#,#,#,#,#,#,1,0,health_check,nan_health_check,health_check
,,Fetch Log Files and Error out,#,#,#,#,#,#,#,#,#,#,#,#,0,0,health_check,nan_health_check,health_check
,,Fetch Files for Debugging Failure,#,#,#,#,#,#,#,#,#,#,#,#,0,0,,,
,,Fail Provisioning,#,#,#,#,#,#,#,#,#,#,#,#,0,0,,,
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\elasticluster\elasticluster\elasticluster\share\playbooks\roles\kubernetes-apps\tasks\helm.yml,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#,helm,C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\elasticluster\elasticluster\elasticluster\share\playbooks\roles\kubernetes-apps\tasks\helm.yml_helm,helm
,,Get Helm.sh script,#,#,#,#,#,#,#,#,#,#,#,#,0,0,helm,nan_helm,helm
,,Deploy Helm,#,#,#,#,#,#,#,#,#,#,#,#,0,0,helm,nan_helm,helm
,,Add Google Stable repo,#,#,#,#,#,#,#,#,#,#,#,#,0,0,helm,nan_helm,helm
,,Update Helm Repositories,#,#,#,#,#,#,#,#,#,#,#,#,0,0,helm,nan_helm,helm
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\manala\ansible-role-apt\tasks\holds.yml,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#,holds,C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\manala\ansible-role-apt\tasks\holds.yml_holds,holds
,,holds > Apt show holds,#,#,#,#,#,#,#,#,#,#,#,#,0,0,holds,nan_holds,holds
,,holds > Set selections,#,#,#,#,#,#,#,#,#,#,#,#,0,0,holds,nan_holds,holds
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\manala\ansible-roles\roles\network\tasks\hosts.yml,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#,hosts,C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\manala\ansible-roles\roles\network\tasks\hosts.yml_hosts,hosts
,,Hosts > File,#,#,#,#,#,#,#,#,#,#,#,#,0,0,hosts,nan_hosts,hosts
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\IBM\community-automation\ansible\roles\http_start\tasks\http_start.yml,,,0,0,0,0,0,0,1,0,0,0,#,#,#,#,http_start,C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\IBM\community-automation\ansible\roles\http_start\tasks\http_start.yml_http_start,http_start
,,start httpd,#,#,#,#,#,#,#,#,#,#,#,#,0,0,http_start,nan_http_start,http_start
,,starthttpdOutput,#,#,#,#,#,#,#,#,#,#,#,#,0,0,http_start,nan_http_start,http_start
,,start adminctl,#,#,#,#,#,#,#,#,#,#,#,#,0,0,http_start,nan_http_start,http_start
,,startadminctlOutput,#,#,#,#,#,#,#,#,#,#,#,#,0,0,http_start,nan_http_start,http_start
,,Check server-status,#,#,#,#,#,#,#,#,#,#,#,#,0,0,http_start,nan_http_start,http_start
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\stackhpc\ansible-role-os-images\tasks\images.yml,,,0,0,0,0,0,1,0,0,0,0,#,#,#,#,images,C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\stackhpc\ansible-role-os-images\tasks\images.yml_images,images
,,Include OS family-specific variables,#,#,#,#,#,#,#,#,#,#,#,#,0,0,images,nan_images,images
,,Ensure required packages are installed,#,#,#,#,#,#,#,#,#,#,#,#,0,0,images,nan_images,images
,,Ensure diskimage-builder SELinux dependencies are installed,#,#,#,#,#,#,#,#,#,#,#,#,0,0,images,nan_images,images
,,Ensure download cache dir exists,#,#,#,#,#,#,#,#,#,#,#,#,0,0,images,nan_images,images
,,Remove old images for force rebuild,#,#,#,#,#,#,#,#,#,#,#,#,0,0,images,nan_images,images
,,Generate per-image cache directories,#,#,#,#,#,#,#,#,#,#,#,#,0,0,images,nan_images,images
,,task,#,#,#,#,#,#,#,#,#,#,#,#,1,0,,,
,,Download the image to the directory when an image_url is defined,#,#,#,#,#,#,#,#,#,#,#,#,0,0,,,
,,Unpack the image if .xz format,#,#,#,#,#,#,#,#,#,#,#,#,0,0,,,
,,Install a suitable version of diskimage-builder,#,#,#,#,#,#,#,#,#,#,#,#,0,0,images,nan_images,images
,,Git clone any additional image element repos,#,#,#,#,#,#,#,#,#,#,#,#,0,0,images,nan_images,images
,,Set a fact containing paths to DIB elements,#,#,#,#,#,#,#,#,#,#,#,#,0,0,images,nan_images,images
,,Incorporate git-sourced DIB elements,#,#,#,#,#,#,#,#,#,#,#,#,0,0,images,nan_images,images
,,Set a fact containing the default DIB environment,#,#,#,#,#,#,#,#,#,#,#,#,0,0,images,nan_images,images
,,Generate diskimage-builder images,#,#,#,#,#,#,#,#,#,#,#,#,1,0,images,nan_images,images
,,Fail if any images failed to build,#,#,#,#,#,#,#,#,#,#,#,#,0,0,images,nan_images,images
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\nexcess\ansible-playbook-cloudhost\playbooks\tasks\import-dev.yml,,,0,0,0,0,1,0,0,0,0,0,#,#,#,#,import-dev,C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\nexcess\ansible-playbook-cloudhost\playbooks\tasks\import-dev.yml_import-dev,import-dev
,,task,#,#,#,#,#,#,#,#,#,#,#,#,0,0,,,
,,task,#,#,#,#,#,#,#,#,#,#,#,#,0,0,,,
,,Make a New MySQL User Password,#,#,#,#,#,#,#,#,#,#,#,#,0,0,import-dev,nan_import-dev,import-dev
,,task,#,#,#,#,#,#,#,#,#,#,#,#,0,0,,,
,,task,#,#,#,#,#,#,#,#,#,#,#,#,0,0,,,
,,task,#,#,#,#,#,#,#,#,#,#,#,#,0,0,,,
,,Scrub Any Other Lingering Old/New Username References,#,#,#,#,#,#,#,#,#,#,#,#,0,0,import-dev,nan_import-dev,import-dev
,,Scrub Any Other Lingering Old/New Domain References,#,#,#,#,#,#,#,#,#,#,#,#,0,0,import-dev,nan_import-dev,import-dev
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\nexcess\ansible-playbook-cloudhost\playbooks\tasks\import-rename.yml,,,0,0,0,1,0,0,0,0,0,0,#,#,#,#,import-rename,C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\nexcess\ansible-playbook-cloudhost\playbooks\tasks\import-rename.yml_import-rename,import-rename
,,Create a Work Directory if Renaming,#,#,#,#,#,#,#,#,#,#,#,#,0,0,import-rename,nan_import-rename,import-rename
,,Untar Backup,#,#,#,#,#,#,#,#,#,#,#,#,0,0,import-rename,nan_import-rename,import-rename
,,Does the Content Dir Exist?,#,#,#,#,#,#,#,#,#,#,#,#,0,0,import-rename,nan_import-rename,import-rename
,,Rename Content Dir,#,#,#,#,#,#,#,#,#,#,#,#,0,0,import-rename,nan_import-rename,import-rename
,,Rename Var Dir,#,#,#,#,#,#,#,#,#,#,#,#,0,0,import-rename,nan_import-rename,import-rename
,,task,#,#,#,#,#,#,#,#,#,#,#,#,0,0,,,
,,Replace Old/New IWORX-META Files,#,#,#,#,#,#,#,#,#,#,#,#,0,0,import-rename,nan_import-rename,import-rename
,,task,#,#,#,#,#,#,#,#,#,#,#,#,0,0,,,
,,Replace Old/New IWORX-META File Contents (Username),#,#,#,#,#,#,#,#,#,#,#,#,0,0,import-rename,nan_import-rename,import-rename
,,Mask Email@Domain Collisions,#,#,#,#,#,#,#,#,#,#,#,#,0,0,import-rename,nan_import-rename,import-rename
,,Replace Old/New IWORX-META File Contents (Domain),#,#,#,#,#,#,#,#,#,#,#,#,0,0,import-rename,nan_import-rename,import-rename
,, Unmask Email@Domain Collisions,#,#,#,#,#,#,#,#,#,#,#,#,0,0,import-rename,nan_import-rename,import-rename
,,Replace Old/New IWORX-META File Contents (Temp Domain),#,#,#,#,#,#,#,#,#,#,#,#,0,0,import-rename,nan_import-rename,import-rename
,,Get the IP Map MD5,#,#,#,#,#,#,#,#,#,#,#,#,0,0,import-rename,nan_import-rename,import-rename
,,Create the New IP Map MD5 File,#,#,#,#,#,#,#,#,#,#,#,#,0,0,import-rename,nan_import-rename,import-rename
,,Move Base Uniqname Dir To New,#,#,#,#,#,#,#,#,#,#,#,#,0,0,import-rename,nan_import-rename,import-rename
,,Create New Import Tarball,#,#,#,#,#,#,#,#,#,#,#,#,0,0,import-rename,nan_import-rename,import-rename
,,Remove Workdir,#,#,#,#,#,#,#,#,#,#,#,#,0,0,import-rename,nan_import-rename,import-rename
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\openedx\configuration\playbooks\roles\testcourses\tasks\import_course.yml,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#,import_course,C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\openedx\configuration\playbooks\roles\testcourses\tasks\import_course.yml_import_course,import_course
,,check out testcourses,#,#,#,#,#,#,#,#,#,#,#,#,0,0,import_course,nan_import_course,import_course
,,import testcourse,#,#,#,#,#,#,#,#,#,#,#,#,0,0,import_course,nan_import_course,import_course
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\spantaleev\matrix-docker-ansible-deploy\roles\custom\matrix-synapse\tasks\init.yml,,,0,0,0,0,0,0,0,0,0,1,#,#,#,#,init,C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\spantaleev\matrix-docker-ansible-deploy\roles\custom\matrix-synapse\tasks\init.yml_init,init
,,task,#,#,#,#,#,#,#,#,#,#,#,#,0,0,,,
,,Ensure workers are injected into various places,#,#,#,#,#,#,#,#,#,#,#,#,0,0,init,nan_init,init
,,task,#,#,#,#,#,#,#,#,#,#,#,#,1,0,,,
,,Fail if matrix-nginx-proxy role already executed,#,#,#,#,#,#,#,#,#,#,#,#,0,0,init,nan_init,init
,,Generate synapse metrics proxying configuration for matrix-nginx-proxy (matrix.DOMAIN/metrics/synapse/main-process),#,#,#,#,#,#,#,#,#,#,#,#,0,1,init,nan_init,init
,,Register synapse metrics proxying configuration with matrix-nginx-proxy (matrix.DOMAIN/metrics/synapse/main-process),#,#,#,#,#,#,#,#,#,#,#,#,0,1,init,nan_init,init
,,Generate synapse worker metrics proxying configuration for matrix-nginx-proxy (matrix.DOMAIN/metrics/synapse/worker),#,#,#,#,#,#,#,#,#,#,#,#,0,1,init,nan_init,init
,,Register synapse worker metrics proxying configuration with matrix-nginx-proxy (matrix.DOMAIN/metrics/synapse/worker),#,#,#,#,#,#,#,#,#,#,#,#,0,1,init,nan_init,init
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\IBM\ibm-spectrum-scale-install-infra\roles\scale_fileauditlogging\node\tasks\yum\install.yml,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#,install,C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\IBM\ibm-spectrum-scale-install-infra\roles\scale_fileauditlogging\node\tasks\yum\install.yml_install,install
,,install | Install GPFS file audit logging packages,#,#,#,#,#,#,#,#,#,#,#,#,0,0,install,nan_install,install
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\OXID-eSales\oxvm_base\ansible\roles\java\tasks\install.yml,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#,install,C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\OXID-eSales\oxvm_base\ansible\roles\java\tasks\install.yml_install,install
,,Install java packages,#,#,#,#,#,#,#,#,#,#,#,#,0,0,install,nan_install,install
,,Download libjpeg required for java 7,#,#,#,#,#,#,#,#,#,#,#,#,0,0,install,nan_install,install
,,Install libjpeg,#,#,#,#,#,#,#,#,#,#,#,#,0,0,install,nan_install,install
,, Download java 7,#,#,#,#,#,#,#,#,#,#,#,#,0,0,install,nan_install,install
,,Install java 7,#,#,#,#,#,#,#,#,#,#,#,#,0,0,install,nan_install,install
,,Set java alternative,#,#,#,#,#,#,#,#,#,#,#,#,0,0,install,nan_install,install
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\influxdata\ansible-chrony\tasks\install.yml,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#,install,C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\influxdata\ansible-chrony\tasks\install.yml_install,install
,,Install Chrony,#,#,#,#,#,#,#,#,#,#,#,#,0,0,install,nan_install,install
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\nexcess\ansible-playbook-cloudhost\playbooks\tasks\install-app-magento-2.yml,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#,install-app-magento-2,C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\nexcess\ansible-playbook-cloudhost\playbooks\tasks\install-app-magento-2.yml_install-app-magento-2,install-app-magento-2
,,Check if Magento2 already installed,#,#,#,#,#,#,#,#,#,#,#,#,0,0,install-app-magento-2,nan_install-app-magento-2,install-app-magento-2
,,Install Magento2,#,#,#,#,#,#,#,#,#,#,#,#,0,0,install-app-magento-2,nan_install-app-magento-2,install-app-magento-2
,,Set up Magento2 log rotation,#,#,#,#,#,#,#,#,#,#,#,#,0,0,install-app-magento-2,nan_install-app-magento-2,install-app-magento-2
,,Set Magento2 Cache Storage to Redis,#,#,#,#,#,#,#,#,#,#,#,#,0,0,install-app-magento-2,nan_install-app-magento-2,install-app-magento-2
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\fubarhouse\ansible-role-golang\tasks\install-git.yml,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#,install-git,C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\fubarhouse\ansible-role-golang\tasks\install-git.yml_install-git,install-git
,,Go-Lang | Ensure directory is absent,#,#,#,#,#,#,#,#,#,#,#,#,0,0,install-git,nan_install-git,install-git
,,Go-Lang | Ensure directory is empty,#,#,#,#,#,#,#,#,#,#,#,#,0,0,install-git,nan_install-git,install-git
,,Go-Lang | Clone distribution,#,#,#,#,#,#,#,#,#,#,#,#,0,0,install-git,nan_install-git,install-git
,,Go-Lang | Build from source,#,#,#,#,#,#,#,#,#,#,#,#,0,0,install-git,nan_install-git,install-git
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\henrysher\fedora-infra-ansible\roles\copr\backend\tasks\install_cloud_cert.yml,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#,install_cloud_cert,C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\henrysher\fedora-infra-ansible\roles\copr\backend\tasks\install_cloud_cert.yml_install_cloud_cert,install_cloud_cert
,,copy .pem,#,#,#,#,#,#,#,#,#,#,#,#,0,0,install_cloud_cert,nan_install_cloud_cert,install_cloud_cert
,,update certificates,#,#,#,#,#,#,#,#,#,#,#,#,0,0,install_cloud_cert,nan_install_cloud_cert,install_cloud_cert
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\IBM\ibm-spectrum-scale-install-infra\roles\nfs\node\tasks\install_dir_pkg.yml,,,1,1,0,1,0,1,1,1,0,0,#,#,#,#,install_dir_pkg,C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\IBM\ibm-spectrum-scale-install-infra\roles\nfs\node\tasks\install_dir_pkg.yml_install_dir_pkg,install_dir_pkg
,,task,#,#,#,#,#,#,#,#,#,#,#,#,0,0,,,
,,install | Stat directory installation package,#,#,#,#,#,#,#,#,#,#,#,#,0,0,install_dir_pkg,nan_install_dir_pkg,install_dir_pkg
,, install | Check directory installation package,#,#,#,#,#,#,#,#,#,#,#,#,0,0,install_dir_pkg,nan_install_dir_pkg,install_dir_pkg
,,install| Creates default directory,#,#,#,#,#,#,#,#,#,#,#,#,0,0,install_dir_pkg,nan_install_dir_pkg,install_dir_pkg
,,install | Stat extracted packages,#,#,#,#,#,#,#,#,#,#,#,#,0,0,install_dir_pkg,nan_install_dir_pkg,install_dir_pkg
,,task,#,#,#,#,#,#,#,#,#,#,#,#,0,0,,,
,,install | Copy installation package to node,#,#,#,#,#,#,#,#,#,#,#,#,0,0,install_dir_pkg,nan_install_dir_pkg,install_dir_pkg
,,install | Set installation package path,#,#,#,#,#,#,#,#,#,#,#,#,0,0,install_dir_pkg,nan_install_dir_pkg,install_dir_pkg
,,install | gpfs base path,#,#,#,#,#,#,#,#,#,#,#,#,0,0,install_dir_pkg,nan_install_dir_pkg,install_dir_pkg
,,task,#,#,#,#,#,#,#,#,#,#,#,#,1,0,,,
,,install | Find gpfs.smb (gpfs.smb) package,#,#,#,#,#,#,#,#,#,#,#,#,0,0,install_dir_pkg,nan_install_dir_pkg,install_dir_pkg
,,install | Check valid GPFS (gpfs.smb) package,#,#,#,#,#,#,#,#,#,#,#,#,0,0,install_dir_pkg,nan_install_dir_pkg,install_dir_pkg
,,install | Add GPFS package to list,#,#,#,#,#,#,#,#,#,#,#,#,0,0,install_dir_pkg,nan_install_dir_pkg,install_dir_pkg
,,task,#,#,#,#,#,#,#,#,#,#,#,#,1,0,,,
,,install | Find gpfs.nfs-ganesha (gpfs.nfs-ganesha) package,#,#,#,#,#,#,#,#,#,#,#,#,0,0,install_dir_pkg,nan_install_dir_pkg,install_dir_pkg
,,install | Check valid GPFS (gpfs.nfs-ganesha) package,#,#,#,#,#,#,#,#,#,#,#,#,0,0,install_dir_pkg,nan_install_dir_pkg,install_dir_pkg
,,install | Add GPFS package to list,#,#,#,#,#,#,#,#,#,#,#,#,0,0,install_dir_pkg,nan_install_dir_pkg,install_dir_pkg
,,task,#,#,#,#,#,#,#,#,#,#,#,#,1,0,,,
,,install | Find gpfs.nfs-ganesha (gpfs.nfs-ganesha) package,#,#,#,#,#,#,#,#,#,#,#,#,0,0,install_dir_pkg,nan_install_dir_pkg,install_dir_pkg
,,install | Check valid GPFS (gpfs.nfs-ganesha) package,#,#,#,#,#,#,#,#,#,#,#,#,0,0,install_dir_pkg,nan_install_dir_pkg,install_dir_pkg
,,install | Add GPFS package to list,#,#,#,#,#,#,#,#,#,#,#,#,0,0,install_dir_pkg,nan_install_dir_pkg,install_dir_pkg
,,task,#,#,#,#,#,#,#,#,#,#,#,#,0,0,,,
,,install | Find gpfs.nfs-ganesha-utils (gpfs.nfs-ganesha) package,#,#,#,#,#,#,#,#,#,#,#,#,0,0,install_dir_pkg,nan_install_dir_pkg,install_dir_pkg
,,install | Check valid GPFS (gpfs.nfs-ganesha) package,#,#,#,#,#,#,#,#,#,#,#,#,0,0,install_dir_pkg,nan_install_dir_pkg,install_dir_pkg
,,task,#,#,#,#,#,#,#,#,#,#,#,#,0,0,,,
,,install | Find gpfs.nfs-ganesha-gpfs (gpfs.nfs-ganesha) package,#,#,#,#,#,#,#,#,#,#,#,#,0,0,install_dir_pkg,nan_install_dir_pkg,install_dir_pkg
,,install | Check valid GPFS (gpfs.nfs-ganesha) package,#,#,#,#,#,#,#,#,#,#,#,#,0,0,install_dir_pkg,nan_install_dir_pkg,install_dir_pkg
,,task,#,#,#,#,#,#,#,#,#,#,#,#,0,0,,,
,,install | Find gpfs.nfs-ganesha-doc (gpfs.nfs-ganesha-doc) package,#,#,#,#,#,#,#,#,#,#,#,#,0,0,install_dir_pkg,nan_install_dir_pkg,install_dir_pkg
,,install | Check valid GPFS (gpfs.nfs-ganesha-doc) package,#,#,#,#,#,#,#,#,#,#,#,#,0,0,install_dir_pkg,nan_install_dir_pkg,install_dir_pkg
,,task,#,#,#,#,#,#,#,#,#,#,#,#,0,0,,,
,,install | Find gpfs.python-nfs-ganesha (gpfs.python-nfs-ganesha) package,#,#,#,#,#,#,#,#,#,#,#,#,0,0,install_dir_pkg,nan_install_dir_pkg,install_dir_pkg
,,install | Check valid GPFS (gpfs.python-nfs-ganesha) package,#,#,#,#,#,#,#,#,#,#,#,#,0,0,install_dir_pkg,nan_install_dir_pkg,install_dir_pkg
,,task,#,#,#,#,#,#,#,#,#,#,#,#,0,0,,,
,,install | Find gpfs.pm-ganesha (gpfs.pm-ganesha) package,#,#,#,#,#,#,#,#,#,#,#,#,0,0,install_dir_pkg,nan_install_dir_pkg,install_dir_pkg
,,install | Check valid GPFS (gpfs.pm-ganesha) package,#,#,#,#,#,#,#,#,#,#,#,#,0,0,install_dir_pkg,nan_install_dir_pkg,install_dir_pkg
,,task,#,#,#,#,#,#,#,#,#,#,#,#,0,0,,,
,,install | Find gpfs.nfs-ganesha (gpfs.nfs-ganesha) package,#,#,#,#,#,#,#,#,#,#,#,#,0,0,install_dir_pkg,nan_install_dir_pkg,install_dir_pkg
,,install | Check valid GPFS (gpfs.nfs-ganesha-debuginfo) package,#,#,#,#,#,#,#,#,#,#,#,#,0,0,install_dir_pkg,nan_install_dir_pkg,install_dir_pkg
,,install | Add GPFS package to list,#,#,#,#,#,#,#,#,#,#,#,#,0,0,install_dir_pkg,nan_install_dir_pkg,install_dir_pkg
,,install | Add GPFS package to list,#,#,#,#,#,#,#,#,#,#,#,#,0,0,install_dir_pkg,nan_install_dir_pkg,install_dir_pkg
,,task,#,#,#,#,#,#,#,#,#,#,#,#,0,0,,,
,,install | initialize,#,#,#,#,#,#,#,#,#,#,#,#,0,0,install_dir_pkg,nan_install_dir_pkg,install_dir_pkg
,,install | Add GPFS package to list,#,#,#,#,#,#,#,#,#,#,#,#,0,0,install_dir_pkg,nan_install_dir_pkg,install_dir_pkg
,,install | remove debuginfo from packages,#,#,#,#,#,#,#,#,#,#,#,#,0,0,install_dir_pkg,nan_install_dir_pkg,install_dir_pkg
,,task,#,#,#,#,#,#,#,#,#,#,#,#,0,0,,,
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\kubernetes-sigs\kubespray\roles\etcd\tasks\install_docker.yml,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#,install_docker,C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\kubernetes-sigs\kubespray\roles\etcd\tasks\install_docker.yml_install_docker,install_docker
,,task,#,#,#,#,#,#,#,#,#,#,#,#,0,0,,,
,,Get currently-deployed etcd version,#,#,#,#,#,#,#,#,#,#,#,#,0,0,install_docker,nan_install_docker,install_docker
,,Get currently-deployed etcd-events version,#,#,#,#,#,#,#,#,#,#,#,#,0,0,install_docker,nan_install_docker,install_docker
,,Restart etcd if necessary,#,#,#,#,#,#,#,#,#,#,#,#,0,0,install_docker,nan_install_docker,install_docker
,,Restart etcd-events if necessary,#,#,#,#,#,#,#,#,#,#,#,#,0,0,install_docker,nan_install_docker,install_docker
,,Install etcd launch script,#,#,#,#,#,#,#,#,#,#,#,#,0,0,install_docker,nan_install_docker,install_docker
,,Install etcd-events launch script,#,#,#,#,#,#,#,#,#,#,#,#,0,0,install_docker,nan_install_docker,install_docker
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\theforeman\forklift\roles\freeipa_server\tasks\install_freeipa_server.yml,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#,install_freeipa_server,C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\theforeman\forklift\roles\freeipa_server\tasks\install_freeipa_server.yml_install_freeipa_server,install_freeipa_server
,,Install FreeIPA server packages (this could take a while)',#,#,#,#,#,#,#,#,#,#,#,#,0,0,install_freeipa_server,nan_install_freeipa_server,install_freeipa_server
,,Fix /etc/hosts record for self',#,#,#,#,#,#,#,#,#,#,#,#,0,0,install_freeipa_server,nan_install_freeipa_server,install_freeipa_server
,,Fix /etc/hosts freeipa installation',#,#,#,#,#,#,#,#,#,#,#,#,0,0,install_freeipa_server,nan_install_freeipa_server,install_freeipa_server
,,Ensure localhost record is in /etc/hosts',#,#,#,#,#,#,#,#,#,#,#,#,0,0,install_freeipa_server,nan_install_freeipa_server,install_freeipa_server
,,Run FreeIPA Install',#,#,#,#,#,#,#,#,#,#,0,0,0,0,install_freeipa_server,nan_install_freeipa_server,install_freeipa_server
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\IBM\ibm-spectrum-scale-install-infra\roles\scale_fileauditlogging\node\tasks\install_local_pkg.yml,,,1,0,0,1,0,0,0,0,0,0,#,#,#,#,install_local_pkg,C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\IBM\ibm-spectrum-scale-install-infra\roles\scale_fileauditlogging\node\tasks\install_local_pkg.yml_install_local_pkg,install_local_pkg
,,task,#,#,#,#,#,#,#,#,#,#,#,#,1,0,,,
,,install | Stat local installation package,#,#,#,#,#,#,#,#,#,#,#,#,0,0,install_local_pkg,nan_install_local_pkg,install_local_pkg
,,install | Check local installation package,#,#,#,#,#,#,#,#,#,#,#,#,0,0,install_local_pkg,nan_install_local_pkg,install_local_pkg
,, install | Stat checksum file,#,#,#,#,#,#,#,#,#,#,#,#,0,0,install_local_pkg,nan_install_local_pkg,install_local_pkg
,,task,#,#,#,#,#,#,#,#,#,#,#,#,0,0,,,
,,install | Read checksum from file,#,#,#,#,#,#,#,#,#,#,#,#,0,0,install_local_pkg,nan_install_local_pkg,install_local_pkg
,,install | Compare checksums,#,#,#,#,#,#,#,#,#,#,#,#,0,0,install_local_pkg,nan_install_local_pkg,install_local_pkg
,,install | Stat extracted packages,#,#,#,#,#,#,#,#,#,#,#,#,0,0,install_local_pkg,nan_install_local_pkg,install_local_pkg
,,task,#,#,#,#,#,#,#,#,#,#,#,#,1,0,,,
,,install | Stat temporary directory,#,#,#,#,#,#,#,#,#,#,#,#,0,0,install_local_pkg,nan_install_local_pkg,install_local_pkg
,,install | Check temporary directory,#,#,#,#,#,#,#,#,#,#,#,#,0,0,install_local_pkg,nan_install_local_pkg,install_local_pkg
,,install | Copy installation package to node,#,#,#,#,#,#,#,#,#,#,#,#,0,0,install_local_pkg,nan_install_local_pkg,install_local_pkg
,,install | Extract installation package,#,#,#,#,#,#,#,#,#,#,#,#,0,0,install_local_pkg,nan_install_local_pkg,install_local_pkg
,,install | Stat extracted packages,#,#,#,#,#,#,#,#,#,#,#,#,0,0,install_local_pkg,nan_install_local_pkg,install_local_pkg
,,install | Check extracted packages,#,#,#,#,#,#,#,#,#,#,#,#,0,0,install_local_pkg,nan_install_local_pkg,install_local_pkg
